Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Heat Flux Correction,W m-2,,,hfcorr,heat_flux_correction,time: mean,down,real,longitude latitude time,hfcorr,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,93,baa6beda-e5dd-11e5-8482-ac72891c3257,0312fb7cbaaff353e66b17c21fb13482,f7dd642e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,DAMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ti_a:m-sea_hfcorr,,
1,Surface Downward X Stress Correction,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",tauucorr,surface_downward_x_stress_correction,time: mean,down,real,longitude latitude time,tauucorr,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,97,baa6d78a-e5dd-11e5-8482-ac72891c3257,06942529e05aac1e9a39ca1f5737af2f,19a4c502-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ti_a:m-sea_tauucorr,,
1,Surface Downward X Stress,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",tauuo,surface_downward_x_stress,time: mean,down,real,longitude latitude time,tauuo,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,95,baa6cf38-e5dd-11e5-8482-ac72891c3257,d1cfe9e20a66d3e922554248677efaba,19a4c502-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP",1,False,1,False,x,x,x,x,x,NEMO:1,lo-la-ti_a:m-sea_tauuo,,
1,Surface Downward Y Stress Correction,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",tauvcorr,surface_downward_y_stress_correction,time: mean,down,real,longitude latitude time,tauvcorr,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,98,baa6dbb8-e5dd-11e5-8482-ac72891c3257,ab495084beb82a29c24bf6c226fd0e57,19a4c502-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ti_a:m-sea_tauvcorr,,
1,Surface Downward Y Stress,N m-2,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.",tauvo,surface_downward_y_stress,time: mean,down,real,longitude latitude time,tauvo,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,96,baa6d366-e5dd-11e5-8482-ac72891c3257,593ed46e925a8bce9de9eb47f5e72632,19a4c502-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP",1,False,1,False,x,x,x,x,x,NEMO:1,lo-la-ti_a:m-sea_tauvo,,
2,Virtual Salt Flux Correction,kg m-2 s-1,It is set to zero in models which receive a real water flux.,It is set to zero in models which receive a real water flux.,vsfcorr,virtual_salt_flux_correction,time: mean,,real,longitude latitude time,vsfcorr,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,72,baa65eae-e5dd-11e5-8482-ac72891c3257,87fbc4126ce4daecf084edf9ad1f4aaf,f7dd642e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ti_a:m-sea_vsfcorr,,
1,Water Flux Correction,kg m-2 s-1,Positive flux implies correction adds water to ocean.,Positive flux implies correction adds water to ocean.,wfcorr,water_flux_correction,time: mean,down,real,longitude latitude time,wfcorr,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,66,baa63dd4-e5dd-11e5-8482-ac72891c3257,604242476d85346b48bd6d791ed05583,f7dd642e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]","AerChemMIP,C4MIP,CMIP,DAMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ti_a:m-sea_wfcorr,,
1,Moles Per Unit Mass of CFC-11 in sea water,mol kg-1,,,cfc11,moles_of_cfc11_per_unit_mass_in_sea_water,time: mean,,real,longitude latitude olevel time,cfc11,ocean,mon,area: areacello volume: volcello,Omon ((isd.003)),Omon_3d,3,ba9ad9c6-e5dd-11e5-8482-ac72891c3257,42625c97b8fe75124a345962c4430982,f7e4000e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,GMMIP,GeoMIP,LS3MIP,OMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP",3,False,-1,False,False,False,False,False,False,False,lo-la-ol-ti__cfc11,,
1,Sea Water Mass,kg,"Total mass of liquid seawater. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.","Total mass of liquid sea water. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.",masso,sea_water_mass,area: sum where sea time: mean,,real, time,masso,ocean,mon,,Omon ((isd.003)),Omon_oth,3,baa4f730-e5dd-11e5-8482-ac72891c3257,7619324f698659657f466d5dc6660b9d,f7dda574-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global mean/constant [na-na] [asm-tmn]","AerChemMIP,C4MIP,CMIP,DAMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",2,Changed: x,1,x,x,x,x,x,x,NEMO:1,ti_a:sum_masso,,
1,Sea Water Pressure at Sea floor,Pa,,,pbo,sea_water_pressure_at_sea_floor,time: mean,,real,longitude latitude time,pbo,ocean,mon,area: areacello,Omon ((isd.003)),Omon_oth,4,baa4fb54-e5dd-11e5-8482-ac72891c3257,3ed1667233f6ae4fe3c5ff93cd2de2f3,f7ddef0c-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CMIP,DAMIP,GMMIP,GeoMIP,LS3MIP,OMIP,VIACSAB","AerChemMIP,C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP",2,Changed: x,1,x,x,x,x,x,x,NEMO:1,lo-la-ti__pbo,,
