Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
0,Surface Altitude,m,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.","height above the geoid; as defined here, """"the geoid"""" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0",orog,surface_altitude,None,None,real,longitude latitude,orog,atmos,mon,,CMIP5 [aero] ((isd.002)),,0,bab2e7d2-e5dd-11e5-8482-ac72891c3257,00e77372e8b909d9a827a0790e991fd9,,,"CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP",,,CHANGED: -1 ???fx???,,False,False,False,False,False,False,lo-la__orog,m01s00i033,
0,Surface Air Pressure,Pa,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",ps,surface_air_pressure,time: mean,,float,longitude latitude time,ps,aerosol,mon,area: areacella,AerChemMIP,,0,19bf5f20-81b1-11e6-92de-ac72891c3257,8c9504d28596e05586c8e193082ac617,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",AerChemMIP,"AerChemMIP,CMIP6,DECK,ScenarioMIP",,,CHANGED: -1 ???Amon???,,False,False,False,False,False,False,lo-la-ti__ps,m01s00i409,
1,ambient aerosol optical thickness at 550 nm,1.0,"AOD from ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""","AOD from ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""",od550aer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,time: mean,,float,longitude latitude time,od550aer,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0fae5394-817d-11e6-b80b-5404a60d96b5,8f2fb9e812c26ee6cb8d9673e09d2644,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,GeoMIP,PMIP,RFMIP","AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: 2,False,False,False,False,False,False,ANCIL,lo-la-ti__od550aer,Some component from EA Ancil,
1,ambient fine mode aerosol optical thickness at 550 nm,1.0,"od550 due to particles with wet diameter less than 1 um  (ambient here means wetted). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.","od550 due to particles with wet diameter less than 1 um  (""""ambient"""" means """"wetted""""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.",od550lt1aer,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,time: mean,,float,longitude latitude time,od550lt1aer,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0fac3870-817d-11e6-b80b-5404a60d96b5,05aec7fe79d030ffc90a089a6a60b0f2,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,GeoMIP,LS3MIP,LUMIP,RFMIP","AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: -3,False,False,False,False,False,False,ANCIL,lo-la-ti__od550lt1aer,"m01s02i300,m01s02i301,m01s02i303,m01s02i304",
1,ambient aerosol absorption optical thickness at 550 nm,1.0,,,abs550aer,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,time: mean,,float,longitude latitude time,abs550aer,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0faca562-817d-11e6-b80b-5404a60d96b5,0baf6a333b91c4db341b515c28cd2c05,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,GeoMIP,PMIP,RFMIP","AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: 2,False,False,False,False,False,False,ANCIL,lo-la-ti__abs550aer,"m01s02i300,m01s02i301,m01s02i302,m01s02i303,m01s02i304,m01s02i305",
1,ambient aerosol optical thickness at 870 nm,1.0,"AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 870 nm""","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 870 nm""",od870aer,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,time: mean,,float,longitude latitude time,od870aer,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0fae894a-817d-11e6-b80b-5404a60d96b5,0a9c3f8ff6151a5baa8bb93d5a1fa090,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",AerChemMIP,"AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: 2,False,False,False,False,False,False,ANCIL,lo-la-ti__od870aer,"m01s02i300,m01s02i301,m01s02i302,m01s02i303,m01s02i304,m01s02i305",
1,primary emission and chemical production of dry aerosol organic matter,kg m-2 s-1,"This is the sum of Total Emission of POA and total production of SOA (emipoa+chepsoa). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available.  Integrate 3D chemical production and emission field vertically to 2d field.","This is the sum of total emission of POA and total production of SOA (emipoa+chepsoa). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available.  Integrate 3D chemical production and emission field vertically to 2d field.",emioa,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,time: mean,,float,longitude latitude time,emioa,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0facd384-817d-11e6-b80b-5404a60d96b5,523886b41b608ce9215833b0406b9c27,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",AerChemMIP,"AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: 2,False,False,False,False,False,False,False,lo-la-ti__emioa,,
3,Emission Rate of Dry Aerosol Primary Organic Matter,kg m-2 s-1,"tendency of atmosphere mass content of primary organic aerosol due to emission:  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","tendency of atmosphere mass content of primary organic aerosol due to emission:  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.",emipoa,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission,time: mean,None,real,longitude latitude time,emipoa,aerosol,mon,area: areacella,CMIP5 [aero] ((isd.002)),,22,baacdedc-e5dd-11e5-8482-ac72891c3257,56369626e34fd5929d2bf572748d9c41,,,"CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP",,False,CHANGED: -1,False,False,False,False,False,False,False,lo-la-ti__emipoa,,
1,chemical production of dry aerosol secondary organic matter,kg m-2 s-1,"If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as OA emissions. """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as OA emissions. """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.",chepsoa,tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production,time: mean,,float,longitude latitude time,chepsoa,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0facc0ce-817d-11e6-b80b-5404a60d96b5,6b9531f047e39c91d82d58852a429555,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",AerChemMIP,"AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: -1,False,False,False,False,False,False,False,lo-la-ti__chepsoa,,
1,emission rate of black carbon aerosol mass,kg m-2 s-1,Integrate 3D emission field vertically to 2d field.,Integrate 3D emission field vertically to 2d field.,emibc,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,time: mean,,float,longitude latitude time,emibc,aerosol,mon,area: areacella,AERmon ((isd.003)),AERmon-2d,0,0fac61ce-817d-11e6-b80b-5404a60d96b5,4d3400f4c74e9cd4d4100da7a915e6d9,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",AerChemMIP,"AerChemMIP,CMIP6,DECK,ScenarioMIP",,False,CHANGED: 2,False,False,False,False,False,False,False,lo-la-ti__emibc,,
